Data Awarii;TCZP;ITNumber;TicketNumber;Rodzaj Naprawy;Non Bom Number;Info
2024-11-21 00:00:00.000;TCZP1225;IT0014592;INC21361341;Kalibracja;n/d;kalibracja, wypozycjonowanie nadruku, ustawienie odpowiedniego poziomu darkness
2024-11-21 00:00:00.000;TCZP2042;IT0014591;TASK5822753;Kalibracja;n/d;Skalibrowanie drukarki rozwiàza∏o problem
2024-11-22 00:00:00.000;TCZP3244 ;IT0024204;INC21400172;Kalibracja;n/d;Z∏e po∏o˝enie czujnika
2024-11-28 00:00:00.000;TCZP3168;IT0003422;INC21471147;Wymiana glowicy;178176;
2024-11-28 00:00:00.000;TCZP3186;IT0002771;INC21441000;Czyszczenie;-;Czyszczenie g∏owicy, zmiana darkness, speed 
2024-12-03 00:00:00.000;TCZP1082;IT0012260;INC21521029;.Nie jestem w stanie wybraç odpowiedniej kategorii;n/d;problemem by∏o u˝ywanie niew∏aÊciwej stacji FF
2024-12-04 00:00:00.000;TCZP1120;IT0013896;INC21540616;Kalibracja;n/d;problem z mediami - pomog∏a kalibracja. Potem pojawi∏ sie problem z brakujàcyn numerem pod barcodem - tutaj pomóg∏ reset do defaulta.
2024-12-04 00:00:00.000;TCZP2082;IT0000665;INC21529668;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Problem z by∏ zwiàzany z konfiguracja  drukarki w baanie
2024-12-04 00:00:00.000;TCZP1018;IT0036600;INC21532835;Kalibracja;-;Zmiana pozycji i si∏y docisków, usuniecie przyklejonych  etykiet z wa∏ka, reset default, zmiana darkness
2024-12-04 00:00:00.000;TCZP1173;IT0013365;INC21528139;Wymiana mediow;-;wymiana kalki na poprawny item, czyszczenie g∏owicy, zmiana offsetów i tear off
2024-12-04 00:00:00.000;TCZP1181;IT0036575;INC21541811;Wymiana glowicy;178334;wymiana g∏owicy, kalibracja
2024-12-04 00:00:00.000;TCZP2006;IT0012405;inc21485209;Czyszczenie;n/a;
2024-12-05 00:00:00.000;tczp1112;IT0003632;INC21557637;Kalibracja;n/d;
2024-12-09 00:00:00.000;TCZP1194;IT0024850;INC21033668;Kalibracja;n/a;
2024-12-09 00:00:00.000;TCZP1194;IT0024850;INC21593441;Kalibracja;n/a;
2024-12-11 00:00:00.000;TCZP1182;IT0023337;INC21623348;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Reset default ustawieƒ drukarki
2024-12-13 00:00:00.000;TCZP2057;IT0021132;INC21651796;Problem sieciowy;n/d;wymiana p∏yty g∏ównej
2024-12-14 00:00:00.000;TCZP1088;IT0018390;INC21655920;Kalibracja;n/a;
2024-12-17 00:00:00.000;TCZP1194;IT0024850;INC21688598;Kalibracja;n/a;
2024-12-18 00:00:00.000;TCZP1088;IT0018390;INC21705230;Kalibracja;n/d;Ustawienie docisków i darknessu. Rwa∏o kalk´
2024-12-20 00:00:00.000;TCZP1198;IT0018871;INC21677879;Kalibracja;N/D;Skalibrowanie drukarki
2024-12-20 00:00:00.000;TCZP1054;IT0018539;INC21732999;Kalibracja;-;zmiana pozycji docisków, si∏y docisków, zmiana darkness
2024-12-23 00:00:00.000;TCZP3179;IT0018041;Inwentaryzacja;Wymiana glowicy;178946;Wymiana g∏owicy
2025-01-02 00:00:00.000;TCZP1088;IT0018390;INC21869209;Czyszczenie;n/d;czyszczenie czujnika obecnosci papieru
2025-01-07 00:00:00.000;TCZP1194;IT0024850;INC21932901;Kalibracja;n/d;Drukarka po restarcie nie trzyma ustawieƒ.
2025-01-07 00:00:00.000;TCZP4056;IT0023176;INC21933757;Kalibracja;n/d;zwi´kszenie docisków i kalibracja
2025-01-07 00:00:00.000;TCZP1185;IT0027931;INC21933252;Kalibracja;n/d;Poprawa mediów po za∏o˝eniu przez brygadzist´.
2025-01-07 00:00:00.000;TCZP1088;IT0018390;INC21933458;Kalibracja;n/d;Zmieniono ustawienia konwersji formatu
2025-01-07 00:00:00.000;TCZP3225;IT0036370;INC21932596;Kalibracja;n/d;èle za∏o˝one media
2025-01-08 00:00:00.000;TCZP3160;IT0018550;INC21954263;Problem sieciowy;n/d;
2025-01-09 00:00:00.000;TCZP1192;IT0024780;INC21966270;Problem sieciowy;-;clean memory printer, reset default, restart drukarki 
2025-01-09 00:00:00.000;TCZP1170;IT0037030;INC21965962;Wymiana mediow;-;poprawne za∏o˝enie etykiet, reset default ustawieƒ
2025-01-13 00:00:00.000;TCZP1045;IT0036573;INC22003362;Kalibracja;n/d;kalibracja, poprawa u∏o˝enia kalki, wypozycjonowanie nadruku
2025-01-14 00:00:00.000;TCZP1169;IT0036577;INC22015019;Kalibracja;n/d;Drukarka drukowala uciete naklejki. Defautl pomog∏
2025-01-14 00:00:00.000;TCZP1030;IT0002779;INC22012660;Wymiana glowicy;179246;Robi∏y si´ paski, kody nie skanowa∏y, wi´c wymieni∏em g∏owic´
2025-01-14 00:00:00.000;TCZP1212;IT0025877;INC22016397;Problem sieciowy;n/a;
2025-01-14 00:00:00.000;TCZP1169;IT0036577;INC22017882;Wymiana glowicy;179261;
2025-01-16 00:00:00.000;TCZP1235;IT0003786;INC22044473;Kalibracja;n/d;
2025-01-17 00:00:00.000;TCZP1087;IT0002282;INC22055084;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;brak zasilania
2025-01-17 00:00:00.000;TCZP1076;IT0036456;INC22060441;Kalibracja;n/d;
2025-01-17 00:00:00.000;TCZP3151;IT0021327;INC22016502;Kalibracja;n/a;
2025-01-20 00:00:00.000;TCZP1082;IT0012260;INC22086604;Kalibracja;N/D;Kalibracja 
2025-01-20 00:00:00.000;TCZP1174;IT0007520;IT0007520;Kalibracja;N/D;kalibracja
2025-01-21 00:00:00.000;TCZP1022;IT0003691;INC22086489;Kalibracja;-;zmiana darkness, pozycji docików, wyprosowanie maskownicy g∏owicy
