Numer;Numer IT;Tczp;Model;Numer seryjny;Lokalizacja;Linie / projekt;Wydruki w loftware;Wydruki z BAAN;üˆczna liczba wydruk—w;Okres przeglˆdu;Limit wydruk—w;Total
00926;IT0028330;TCZP0004;color laserjet pro mf p m479fdn;CNCRQ9J8VQ;b1;school foss mech;;;0;P—¸roczny;100000;
00939;IT0036403;TCZP0012;laserjet pro m404dn;PHFMH56368;b2;smt / thm stanowisko tl;;;0;P—¸roczny;100000;
00940;IT0036404;TCZP0010;laserjet pro m404dn;PHFMH56366;b2;smt epsilon tl;;;0;P—¸roczny;100000;
00990;IT0036999;TCZP0021;laserjet enterprise m611dn;CNBBR2Q0S9;b1;Magazyn;;;0;P—¸roczny;100000;
00991;IT0037006;TCZP0119;color laser jet pro mfp m479fdn;CNCRQDQ5PL;b2;it dzialowa;;;0;P—¸roczny;100000;
00994;IT0037321;TCZP0026;color laserjet pro mfp m479fdn;CNCRR123GT;b2;biuro marcin szatkowski;;;0;P—¸roczny;100000;
00995;IT0037383;TCZM0022;laser jet pro m404dn;PHFMG69517;b4;magdalena bielawska;;;0;P—¸roczny;100000;
01002;IT0023090;TCZP0197;laserjet pro m404dn;PHCL266017;b2;mike tl;;;0;P—¸roczny;100000;
01003;IT0028062;TCZP0182;bizhub c257i;ACVD021016433;b5;za dokami;;;0;P—¸roczny;100000;
01043;IT0037321_old;TCZP0026;color laserjet pro mfp m479fdn;CNCRR123GT;b2;biuro marcin szatkowski;;;0;P—¸roczny;100000;
01044;IT0039240;TCZP0040;laserjet pro 4002dn.;VNM0626539;b2;wartsztat cnc;;;0;P—¸roczny;100000;
01048;IT0028422;TCZP0102;hp laserjet pro m404dn;PHFMG69514;b1;tl fab;;;0;P—¸roczny;100000;
01049;IT0038711;TCZP0028;laser jet pro m404dw;PHFSG10939;b2;pakowanie;;;0;P—¸roczny;100000;
01057;IT0038995;TCZP0034;4002dn;VNM0003508;b4;tl;;;0;P—¸roczny;100000;
01058;IT0038996;TCZP0038;laserjet pro 4002dn;VNC0005445;b4;supervisor;;;0;P—¸roczny;100000;
