Data Awarii;TCZP;ITNumber;TicketNumber;Rodzaj Naprawy;Non Bom Number;Info;Numer;Numer IT;Tczp;Model;Numer seryjny;Lokalizacja;Linie / projekt;Wydruki w loftware;Wydruki z BAAN;¸àczna liczba wydruków;Okres przeglàdu;Limit wydruków;Total
2024-09-13 00:00:00.000;TCZP3170;IT0028325;INC20425866;Kalibracja;n/d;weryfikacja drukarki z Marcinem, wydruki testowe, odstawienie na miejsce, wydruki testowe, ponowna weryfikacja po kolejnym telefonie, restart drukarki, kalibracja, sprawdzenie czujników, sprawdzenie ustawieƒ webowo, ustawienie odpowiedniej wysokoÊci;923.0;IT0028325;TCZP3170;citizencl-s631ii;JM632260485;b2;kitting 5;88776.0;0.0;88776.0;Pó∏roczny;100000.0;746316.0
2024-09-13 00:00:00.000;TCZP1150;IT0025867;INC20429595;Kalibracja;n/d;weryfikacja problemu, restart drukarki, wyzerowanie ustawieƒ, kalibracja wypozycjonowanie wydruku, próba poprawy rozmazanych barcodów, default drukarki, kalibracja, wypozycjonowanie;;;;;;;;;;;;;
2024-09-16 00:00:00.000;TCZP1037;IT0014692;INC20431429;Kalibracja;n/d;weryfikacja problemu, pod∏àczenie zewn´trznej karty sieciowej;476.0;IT0014692;TCZP1037;110xi4 300 dpi;14J163700156;b2;dzielenie 4;3930.0;0.0;3930.0;Pó∏roczny;100000.0;18799.0
2024-09-16 00:00:00.000;TCZP1185;IT0027931;INC20469079;Kalibracja;-;Poluênienie rewindera;911.0;IT0027931;TCZP1185;ttbp6;H520500022;b3;sprue;5445.0;0.0;5445.0;Pó∏roczny;100000.0;420297.0
2024-09-17 00:00:00.000;TCZP3153;IT0025047;INC20481469;Wymiana glowicy;175552;;860.0;IT0025047;TCZP3153;hellermann300dpi;H420C00077;b1;stanowisko ims kolo pem;35908.0;0.0;35908.0;Pó∏roczny;100000.0;192675.0
2024-09-17 00:00:00.000;TCZP2003;IT0000840;INC20432362;Kalibracja;-;;195.0;IT0000840;TCZP2003;xi4 300 dpi;14J132001174;b3;Dystrybucja;0.0;0.0;0.0;Pó∏roczny;100000.0;121536.0
2024-09-20 00:00:00.000;TCZP1092;IT0002491;INC20535329;Kalibracja;-;;77.0;IT0002491;TCZP1092;zebra,110xi4600dpi;14J111000542;b2;zelowanie;5120.0;0.0;5120.0;Kwartalny;100000.0;160435.0
2024-09-21 00:00:00.000;TCZP1025;IT0036572;INC20539053;Kalibracja;-;;977.0;IT0036572;TCZP1025;zebra,110xi4300dpi;14J142500573;b2;pakowanie;6500.0;0.0;6500.0;Pó∏roczny;100000.0;39246.0
2024-09-21 00:00:00.000;TCZP1028;IT0004133;INC20539059;Kalibracja;-;;68.0;IT0004133;TCZP1028;110xi4 300 dpi;14J110200110;b2;pakowanie;15350.0;0.0;15350.0;Pó∏roczny;100000.0;1652631.0
2024-09-22 00:00:00.000;TCZP1194;IT0018879;INC20492051;Problem z czujnikiem;-;Zmiana offsetów TOP position, Letf Position, reset default, zmiana pozycji czujnika etykiet;;;;;;;;;;;;;
2024-09-22 00:00:00.000;TCZP1194;IT0018879;INC20507136;Problem z czujnikiem;-;Zmiana pozycji czujnika, kalibracja, zmian offsetów TOP position, Left Position ;;;;;;;;;;;;;
2024-09-25 00:00:00.000;TCZP1132;IT0002440;INC20593282;Kalibracja;-;;285.0;IT0002440;TCZP1132;zebra,110xi4,300dpi;14J133400093;b1;ikea,jupiter;725.0;0.0;725.0;Pó∏roczny;100000.0;4023.0
2024-09-25 00:00:00.000;TCZP3158;IT0021751;INC20593160;Kalibracja;-;;773.0;IT0021751;TCZP3158;hellermann,600dpi;H518CV200900104;b2;tl;5411.0;0.0;5411.0;Pó∏roczny;100000.0;116787.0
2024-09-25 00:00:00.000;TCZP1011;IT0009200;INC20563452;Problem z czujnikiem;-;Usuni´cie przyplejonej etykiety z czujnika etykiet, ustawienie pozycji czujnika, wyczyszczenie czujnika izopropanolem, zmiana offsetów TOP Position, Left Position;351.0;IT0009200;TCZP1011;110 xi4 300;14j150900510;b2;kitting stanowisko lcr 1;1554.0;0.0;1554.0;Kwartalny;100000.0;145582.0
2024-09-25 00:00:00.000;TCZP3198;IT0002288;INC20563727;Uszkodzenie mechaniczne;-;Dogi´cie maskownicy g∏owycy, zmiana pozycji i si∏y gocisku docisków, wyczyszczenia wa∏ka;281.0;IT0002288;TCZP3198;110xi4;14J142500565;b2;miernik 2;16104.0;0.0;16104.0;Pó∏roczny;100000.0;779550.0
2024-09-25 00:00:00.000;TCZP1019;IT0023724;INC20564252;Kalibracja;-;Reset defaults, kalibracja, zmiana offcestów TOP Position Left Position ;819.0;IT0023724;TCZP1019;hellermann,600dpi;H5196V200900007;b4;tl;1846.0;0.0;1846.0;Pó∏roczny;100000.0;205029.0
2024-09-27 00:00:00.000;TCZP4088;IT0038156;INC20629301;Kalibracja;-;;1021.0;IT0038156;TCZP4088;cl-s631ii 300 dpi;JM632410009;b2;e/// air linia 1;70.0;0.0;70.0;Pó∏roczny;100000.0;10991.0
2024-09-27 00:00:00.000;TCZP3164;IT0017496;INC20609743;Kalibracja;-;;821.0;IT0017496;TCZP3164;hellermann600dpi;H5197V200900004;b1;zoid shelf;2912.0;0.0;2912.0;Pó∏roczny;100000.0;42539.0
2024-09-27 00:00:00.000;TCZP2056;IT0013791;INC20628931;Kalibracja;-;;;;;;;;;;;;;;
2024-09-27 00:00:00.000;TCZP4091;IT0038162;INC20617025;Kalibracja;-;;1027.0;IT0038162;TCZP4091;cl-s631ii 300 dpi;JM632410020;b2;engineering modu∏y;65.0;0.0;65.0;Pó∏roczny;100000.0;13827.0
2024-09-30 00:00:00.000;TCZP3164;IT0017496;TCZP3164 ;Kalibracja;-;reset default, kalibracja zmiana offsetów, TOP Position, Left Position,;821.0;IT0017496;TCZP3164;hellermann600dpi;H5197V200900004;b1;zoid shelf;2912.0;0.0;2912.0;Pó∏roczny;100000.0;42539.0
2024-10-03 00:00:00.000;TCZP2030;IT0013366;INC20702442;Czyszczenie;-;Czyszczenie g∏owicy, zmiana pozycji docisków;454.0;IT0013366;TCZP2030;110xi4 300dpi;14J152400381;b3;stanowisko 3;0.0;0.0;0.0;Pó∏roczny;100000.0;275765.0
2024-10-03 00:00:00.000;TCZP2030;IT0013366;IT0036370;Kalibracja;-;Reset Default, kalibracja, zmiana offsetów ;454.0;IT0013366;TCZP2030;110xi4 300dpi;14J152400381;b3;stanowisko 3;0.0;0.0;0.0;Pó∏roczny;100000.0;275765.0
2024-10-03 00:00:00.000;TCZP3225;IT0036370;INC20728959;Kalibracja;-;Reset default, kalibracja, zmiana offcestów ;936.0;IT0036370;TCZP3225;ttbp6;H521100080;b2;dystrybutor supermarketu;16196.0;0.0;16196.0;Pó∏roczny;100000.0;46648.0
2024-10-03 00:00:00.000;TCZP4088;IT0038156;INC20720068;Wymiana mediow;-;Wymiana kalki na poprawnà ;1021.0;IT0038156;TCZP4088;cl-s631ii 300 dpi;JM632410009;b2;e/// air linia 1;70.0;0.0;70.0;Pó∏roczny;100000.0;10991.0
2024-10-03 00:00:00.000;TCZP4091;IT0038162;INC20720068;Wymiana mediow;-;Wymiana kalki na poprawny item;1027.0;IT0038162;TCZP4091;cl-s631ii 300 dpi;JM632410020;b2;engineering modu∏y;65.0;0.0;65.0;Pó∏roczny;100000.0;13827.0
2024-10-03 00:00:00.000;TCZP4078;IT0038155;INC20724663;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Wyczyszczenie buforu wydruku w loftwarze;1020.0;IT0038155;TCZP4078;cl-s631ii 300 dpi;JM632410023;b2;engineering modu∏y;66.0;0.0;66.0;Pó∏roczny;100000.0;720.0
2024-10-03 00:00:00.000;TCZP4093;IT0038160;INC20724663;Wymiana mediow;-;Wymiana kalki na prawid∏owy item;1025.0;IT0038160;TCZP4093;cl-s631ii 300 dpi;JM632410011;b2;engineering modu∏y;24.0;0.0;24.0;Pó∏roczny;100000.0;69.0
2024-10-04 00:00:00.000;TCZP4058;IT0024849;INC20765223;Kalibracja;N/D;Kalibracja;887.0;IT0024849;TCZP4058;hellermann,300dpi;H520300006;b4;pakowianie;169.0;0.0;169.0;Pó∏roczny;100000.0;3357.0
2024-10-07 00:00:00.000;TCZP1185;IT0027931;INC20792266;Kalibracja;n/d;Dos∏ownie kalibracja. Mog∏em to zrobiç zdalnie. Nawet jej nie otworzy∏em;911.0;IT0027931;TCZP1185;ttbp6;H520500022;b3;sprue;5445.0;0.0;5445.0;Pó∏roczny;100000.0;420297.0
2024-10-07 00:00:00.000;TCZP1089;IT0001070;INC20797506;Kalibracja;n/d;Drukarka wymaga∏a ustawienia tej blaszki z przodu, co kalke trzyma;332.0;IT0001070;TCZP1089;zebra,110xi4,600dpi;14J123200793;b4;pcb reprogramming;5248.0;0.0;5248.0;Pó∏roczny;100000.0;650340.0
2024-10-08 00:00:00.000;TCZP3153;IT0025047;INC20800443;Problem z czujnikiem;n/d;czujnik by∏ êle wypozycjonowany, nie nachodzi∏ na naklejk´;860.0;IT0025047;TCZP3153;hellermann300dpi;H420C00077;b1;stanowisko ims kolo pem;35908.0;0.0;35908.0;Pó∏roczny;100000.0;192675.0
2024-10-10 00:00:00.000;TCZP3244 ;IT0024204;INC20840594;Kalibracja;-;;727.0;IT0024204;TCZP3244;hellermann,600dpi;H5196V200900010;b4;inspekcja wizualna;1619.0;0.0;1619.0;Pó∏roczny;100000.0;41532.0
2024-10-11 00:00:00.000;TCZP3252;IT0038546;INC20845700;Kalibracja;n/d;Poprawiono media;1031.0;IT0038546;TCZP3252;ttbp3;H422500009;b1;small;465.0;0.0;465.0;Pó∏roczny;100000.0;1784.0
2024-10-10 00:00:00.000;TCZP3182;IT0002252;INC20841846;Kalibracja;-;;81.0;IT0002252;TCZP3182;zebra,110xi4;80J10070276;b2;zwroty;0.0;0.0;0.0;Pó∏roczny;100000.0;357931.0
2024-10-11 00:00:00.000;TCZP1043;IT0003170;INC20823575;Problem sieciowy;-;Restart drukarki, wyczyszczenie g∏owicy, zmiana darkness;133.0;IT0003170;TCZP1043;110xi4 600dpi;14J113900832;b4;magazyn przepakowania;159.0;0.0;159.0;Pó∏roczny;100000.0;480223.0
2024-10-11 00:00:00.000;TCZP3211;IT0022952;INC20859903;Czyszczenie;n/d;Czyszcenie g∏owicy;882.0;IT0022952;TCZP3211;hellermann,300dpi;H4174V200600041;b4;pakowanie;8434.0;0.0;8434.0;Pó∏roczny;100000.0;66950.0
2024-10-11 00:00:00.000;TCZP1047;IT0000850;INC20851690;Kalibracja;-;;162.0;IT0000850;TCZP1047;zebra,110xi4300dpi;14J114000840;b2;stanowisko 1b;16888.0;0.0;16888.0;Pó∏roczny;100000.0;859009.0
2024-10-11 00:00:00.000;TCZP1086;IT0019465;INC20855067;Kalibracja;-;;574.0;IT0019465;TCZP1086;zebra,110xi3 plus 300dpi;91C08470294;b2;stanowisko 1b;32406.0;0.0;32406.0;Pó∏roczny;100000.0;783166.0
2024-10-15 00:00:00.000;TCZP2003;IT0000840;INC20887810;Wymiana glowicy;176528;;195.0;IT0000840;TCZP2003;xi4 300 dpi;14J132001174;b3;Dystrybucja;0.0;0.0;0.0;Pó∏roczny;100000.0;121536.0
2024-10-15 00:00:00.000;TCZP2001;IT0012719;INC20889166;Problem sieciowy;-;;447.0;IT0012719;TCZP2001;xi3 plus 300 dpi;91C08080877;b2;naprawy;1110.0;0.0;1110.0;Pó∏roczny;100000.0;50196.0
2024-10-03 00:00:00.000;TCZP1126;IT0038543;INC20743117;Kalibracja;n/d;;1033.0;IT0038543;TCZP1126;ttbp3;H422500011;b1;small;430.0;0.0;430.0;Pó∏roczny;100000.0;1888.0
2024-10-03 00:00:00.000;TCZP1149;IT0027031;INC20735127;Kalibracja;n/d;;985.0;IT0027031;TCZP1149;hellermann,600dpi;H520300009;b2;e/// oslo tl;89.0;0.0;89.0;Pó∏roczny;100000.0;749.0
2024-10-02 00:00:00.000;TCZP1194;IT0018879;INC20743395;Problem sieciowy;n/d;;;;;;;;;;;;;;
